primaryTitle,startYear,genres,averageRating,numVotes
Nice People,1922,"Comedy,Drama,Romance",5.7,25
Night Life in Hollywood,1922,Comedy,4.3,18
One Exciting Night,1922,"Comedy,Horror,Mystery",5.3,197
One Glorious Day,1922,Comedy,6.4,15
Peg o' My Heart,1922,"Comedy,Drama",6.7,130
Penrod,1922,"Comedy,Drama",6.7,18
Polly of the Follies,1922,"Comedy,Romance",6.6,19
The Primitive Lover,1922,"Comedy,Romance",6.4,138
Red Hot Romance,1922,Comedy,4.4,37
Saturday Night,1922,"Comedy,Romance",6.7,166
Sherlock Brown,1922,"Comedy,Crime,Drama",3.4,35
The Sleep Walker,1922,"Comedy,Drama",6.0,10
Squibs Wins the Calcutta Sweep,1922,Comedy,6.4,15
Three Live Ghosts,1922,Comedy,6.3,50
The Three Must-Get-Theres,1922,"Action,Adventure,Comedy",6.9,658
Trouble,1922,"Comedy,Drama",5.0,13
Turn to the Right,1922,"Comedy,Drama",6.8,23
Roman Candles,1920,"Comedy,Drama,Romance",5.0,22
Anderssonskans Kalle på nya upptåg,1923,"Comedy,Drama,Family",5.2,12
Bluebeard's 8th Wife,1923,"Comedy,Romance",6.7,34
Children of Jazz,1923,"Comedy,Drama,Romance",6.8,15
Circus Days,1923,"Comedy,Drama",6.3,41
The Cricket on the Hearth,1923,"Comedy,Drama,Romance",6.1,17
The Dangerous Maid,1923,"Comedy,Drama",5.7,13
Desert Rider,1923,"Comedy,Romance,Western",5.3,38
Destroying Angel,1923,"Comedy,Romance",5.0,21
The Extra Girl,1923,"Comedy,Romance",6.7,1220
Fighting Blood,1923,Comedy,7.1,29
Paris Urchin,1923,Comedy,6.8,31
The Gold Diggers,1923,"Comedy,Romance",5.0,42
Hollywood,1923,"Comedy,Drama",6.6,94
Iron Wills,1923,Comedy,5.7,19
Itching Palms,1923,"Comedy,Crime",6.6,17
Little Old New York,1923,"Comedy,Romance",6.4,1095
Luck,1923,"Action,Comedy,Sport",7.4,19
